url,types,app_id,name,recent_reviews,all_reviews,release_date,popular_tags,genre
https:,app,528550,Drunkn Bar Fight,,"Mostly Positive,(350),- 76% of the 350 user reviews for this game are positive.",28-Nov-16,"Early Access,Action,Early Access,Indie,VR,Funny,Comedy,Multiplayer","Action,Indie,Early Access"
https:,app,281610,Homeworld Deserts of Kharak,"Mostly Positive,(14),- 78% of the 14 user reviews in the last 30 days are positive.","Mostly Positive,(3,145),- 78% of the 3,145 user reviews for this game are positive.",20-Jan-16,"Strategy,RTS,Sci-fi,Multiplayer,Story Rich,Great Soundtrack,Space,Female Protagonist,Atmospheric,Singleplayer,Action,Futuristic,Co-op,Real-Time,Adventure,First-Person,Horror,Tactical",Strategy
https:,app,480650,YuGiOh Legacy of the Duelist,"Mixed,(36),- 63% of the 36 user reviews in the last 30 days are positive.","Very Positive,(2,126),- 82% of the 2,126 user reviews for this game are positive.",7-Dec-16,"Card Game,Anime,Trading Card Game,Multiplayer,Strategy,Simulation,Singleplayer,Fantasy,Action",Simulation
https:,app,383870,Firewatch,"Very Positive,(170),- 91% of the 170 user reviews in the last 30 days are positive.","Very Positive,(35,642),- 85% of the 35,642 user reviews for this game are positive.",9-Feb-16,"Atmospheric,Adventure,Story Rich,Walking Simulator,Mystery,First-Person,Exploration,Singleplayer,Open World,Indie,Great Soundtrack,Short,Comedy,Drama,Funny,Colorful,Mature,Thriller,Horror,Casual","Adventure,Indie"
https:,app,371660,Far Cry Primal,"Mostly Positive,(156),- 71% of the 156 user reviews in the last 30 days are positive.","Mostly Positive,(10,120),- 76% of the 10,120 user reviews for this game are positive.",29-Feb-16,"Open World,Survival,Action,Adventure,Hunting,First-Person,Singleplayer,Crafting,Exploration,FPS,Stealth,Atmospheric,Shooter,Mature,Sandbox,Action RPG,RPG,Co-op,Strategy,Online Co-Op","Action,Adventure"
https:,app,39150,FINAL FANTASY VIII,"Very Positive,(35),- 94% of the 35 user reviews in the last 30 days are positive.","Very Positive,(4,976),- 88% of the 4,976 user reviews for this game are positive.",5-Dec-13,"JRPG,RPG,Classic,Singleplayer,Great Soundtrack,Turn-Based,Fantasy,Story Rich,Masterpiece,Card Game,Sci-fi,Adventure,Open World,Retro,Romance,Atmospheric,1990's,Action,Epic,Controller",RPG
https:,app,418030,Subsistence,"Mixed,(55),- 65% of the 55 user reviews in the last 30 days are positive.","Mostly Positive,(3,649),- 70% of the 3,649 user reviews for this game are positive.",25-Oct-16,"Early Access,Survival,Crafting,Multiplayer,Open World,Building,Sandbox,Early Access,Base Building,Action,Singleplayer,Co-op,First-Person,Adventure,FPS,Online Co-Op,Difficult,Nudity,Shooter,Indie","Action,Early Access"
https:,app,1065970,VRSpiceWolfVR,,"Very Positive,(357),- 94% of the 357 user reviews for this game are positive.",3-Jun-19,"Casual,Indie,Anime,VR","Casual,Indie"
https:,app,967050,Pacify,"Very Positive,(232),- 87% of the 232 user reviews in the last 30 days are positive.","Very Positive,(1,602),- 86% of the 1,602 user reviews for this game are positive.",22-Feb-19,"Horror,Multiplayer,Survival Horror,Co-op,Action,Thriller,Adventure,Indie,Singleplayer,Casual,Strategy,Psychological Horror,PvP,First-Person,Dark,Gore,Funny,Atmospheric,Puzzle","Action,Adventure,Casual,Indie,Strategy"
https:,app,838380,DEAD OR ALIVE 6,"Mixed,(28),- 64% of the 28 user reviews in the last 30 days are positive.","Mixed,(1,359),- 63% of the 1,359 user reviews for this game are positive.",28-Feb-19,"Fighting,Sexual Content,Action,Female Protagonist,Nudity,Violent,Multiplayer,Competitive,Ninja,Anime,Mature,Singleplayer,Gore,Free to Play,Great Soundtrack,Beat 'em up,Arcade",Action
https:,app,209000,Batman Arkham Origins,"Very Positive,(91),- 81% of the 91 user reviews in the last 30 days are positive.","Very Positive,(13,668),- 84% of the 13,668 user reviews for this game are positive.",24-Oct-13,"Batman,Action,Open World,Superhero,Adventure,Third Person,Stealth,Singleplayer,Multiplayer,Fighting,Beat 'em up,Comic Book,Detective,Story Rich,Atmospheric,Action-Adventure,Controller,3D Vision,Sandbox,Masterpiece","Action,Adventure"
https:,app,793690,Final Assault,,"Very Positive,(102),- 99% of the 102 user reviews for this game are positive.",16-May-19,"Strategy,VR,World War II,RTS",Strategy
https:,app,215280,Secret World Legends,"Mixed,(40),- 40% of the 40 user reviews in the last 30 days are positive.","Mixed,(6,572),- 67% of the 6,572 user reviews for this game are positive.",31-Jul-17,"MMORPG,Massively Multiplayer,RPG,Lovecraftian,Horror,Story Rich,Illuminati,Conspiracy,Open World,Action,Supernatural,Mythology,Puzzle,Exploration,Adventure,Free to Play,Multiplayer,Zombies,Character Customization,Third Person","Action,Adventure,Free to Play,Massively Multiplayer,RPG"
https:,app,844040,RUSH,,"Very Positive,(69),- 85% of the 69 user reviews for this game are positive.",13-Jul-18,"Action,Sports,Racing,Simulation,VR","Action,Racing,Simulation,Sports"
https:,app,790820,Valkyria Chronicles 4,"Very Positive,(56),- 87% of the 56 user reviews in the last 30 days are positive.","Very Positive,(1,405),- 85% of the 1,405 user reviews for this game are positive.",25-Sep-18,"Strategy,Anime,Turn-Based,RPG,Strategy RPG,War,Singleplayer,Tactical,JRPG,Third Person,Story Rich,Action,Violent,Sexual Content,Tactical RPG,Tanks,Turn-Based Strategy,Female Protagonist,Great Soundtrack","Action,RPG,Strategy"
https:,app,673880,Warhammer 40000 Mechanicus,"Very Positive,(87),- 82% of the 87 user reviews in the last 30 days are positive.","Very Positive,(1,751),- 89% of the 1,751 user reviews for this game are positive.",15-Nov-18,"Warhammer 40K,Strategy,Turn-Based Tactics,Turn-Based,Turn-Based Combat,Games Workshop,Sci-fi,Great Soundtrack,Indie,Tactical,Co-op",Strategy
https:,app,230190,War for the Overworld,"Mostly Positive,(69),- 79% of the 69 user reviews in the last 30 days are positive.","Very Positive,(3,776),- 84% of the 3,776 user reviews for this game are positive.",2-Apr-15,"Strategy,RTS,God Game,Indie,Fantasy,Base Building,Sandbox,Simulation,Villain Protagonist,Kickstarter,Management,Dungeon Crawler,Funny,Singleplayer,Multiplayer,Dark Comedy,Building,Level Editor,Comedy,Early Access","Indie,Simulation,Strategy"
https:,app,646910,The Crew 2,"Mostly Positive,(151),- 73% of the 151 user reviews in the last 30 days are positive.","Mixed,(5,929),- 55% of the 5,929 user reviews for this game are positive.",28-Jun-18,"Racing,Open World,Driving,Multiplayer,Action,Massively Multiplayer,Flight,Co-op,Singleplayer,Arcade,Simulation,First-Person,Third Person,Online Co-Op,America,Atmospheric,Sports,Adventure,Sandbox,Funny","Action,Massively Multiplayer,Racing"
https:,app,16810,Sid Meiers Civilization IV Colonization,,"Mostly Positive,(327),- 79% of the 327 user reviews for this game are positive.",23-Sep-08,"Strategy,Turn-Based Strategy,Turn-Based,4X,Historical,Singleplayer,Multiplayer,Moddable,Simulation",Strategy
https:,app,805550,Assetto Corsa Competizione,"Mixed,(619),- 51% of the 619 user reviews in the last 30 days are positive.","Mostly Positive,(2,417),- 73% of the 2,417 user reviews for this game are positive.",29-May-19,"Racing,Simulation,Driving,Sports,VR,Multiplayer,Early Access,Realistic,Singleplayer","Racing,Simulation,Sports"
https:,app,65800,Dungeon Defenders,"Very Positive,(17),- 88% of the 17 user reviews in the last 30 days are positive.","Very Positive,(7,017),- 92% of the 7,017 user reviews for this game are positive.",18-Oct-11,"Tower Defense,RPG,Co-op,Strategy,Online Co-Op,Multiplayer,Action,Fantasy,Indie,Third Person,Local Co-Op,Singleplayer,Local Multiplayer,4 Player Local,Split Screen,Action RPG,Loot,Hack and Slash,Addictive,Third-Person Shooter","Action,Indie,RPG,Strategy"
https:,app,942970,Unheard,"Overwhelmingly Positive,(404),- 95% of the 404 user reviews in the last 30 days are positive.","Very Positive,(5,461),- 94% of the 5,461 user reviews for this game are positive.",28-Mar-19,"Detective,Puzzle,Mystery,Indie,Story Rich,RPG,Simulation","Indie,RPG,Simulation"
https:,app,39120,RIFT,"Mixed,(25),- 60% of the 25 user reviews in the last 30 days are positive.","Mostly Positive,(9,233),- 74% of the 9,233 user reviews for this game are positive.",24-Oct-13,"Free to Play,MMORPG,Massively Multiplayer,RPG,Fantasy,Multiplayer,Open World,Adventure,Action,Co-op,Character Customization,PvP,Online Co-Op,Magic,Survival,Crafting,Singleplayer,Strategy,First-Person,FPS","Free to Play,Massively Multiplayer,RPG"
https:,app,447020,Farming Simulator 17,"Very Positive,(88),- 88% of the 88 user reviews in the last 30 days are positive.","Very Positive,(11,267),- 91% of the 11,267 user reviews for this game are positive.",24-Oct-16,"Simulation,Multiplayer,Agriculture,Open World,Realistic,Economy,Driving,Moddable,Singleplayer,Management,First-Person,Co-op,Online Co-Op,Family Friendly,Third Person,Sandbox,Strategy,Great Soundtrack,Action,Female Protagonist",Simulation
