gameid,score
2528550,0
744600,11
266430,11
727930,10
728630,10
1046760,10
496240,9
332570,9
605740,9
252870,9
337320,9
2281610,0
15620,13
4920,13
292730,13
91600,13
4570,12
9450,12
47780,12
507490,12
13520,12
268870,12
2480650,0
591960,8
329110,7
70400,7
97330,7
213850,7
583950,7
49470,7
293260,7
1082720,7
227180,7
2383870,0
554810,15
417880,14
384190,13
391720,13
343860,13
492220,13
772290,13
244910,13
1054110,13
749050,13
2371660,0
253710,14
10680,14
9200,14
223100,14
113420,14
418030,13
39120,13
304930,13
22370,13
22300,13
2039150,0
382900,15
292140,14
204030,12
38400,12
382890,12
15100,12
539330,12
39500,12
513230,12
40390,12
2418030,0
402710,18
351290,18
312210,18
252870,17
914620,17
298610,17
655290,17
467570,17
386590,17
369080,17
3065970,0
974670,5
771920,5
1041670,5
746920,5
714730,5
934990,5
685740,5
333600,4
447530,4
641960,4
2967050,0
521890,15
503350,14
434570,14
434730,14
857370,14
759010,14
352460,14
506610,13
466240,13
414700,13
2838380,0
544750,13
411830,13
262150,13
529000,12
307780,11
460790,11
511680,11
361300,11
215830,10
383980,10
2209000,0
35140,19
200260,19
208650,17
48190,14
242700,14
115320,13
15100,13
647830,12
12200,12
19900,12
2793690,0
657200,4
806950,4
64000,4
312980,4
314980,4
672680,4
666820,4
7830,4
6800,4
8170,4
2215280,0
304030,11
39120,10
215830,10
442080,10
22300,10
115320,10
45740,10
217750,10
355840,10
233290,10
2844040,0
310560,6
880200,6
614970,6
746500,6
462480,6
501090,6
1040430,6
934990,6
817950,6
343120,6
2790820,0
294860,18
405900,13
556740,12
820760,12
803600,11
282900,11
495280,11
260130,11
353270,11
292140,11
2673880,0
322910,10
590380,9
553210,9
458040,9
586030,9
15620,8
322190,8
698640,8
312370,8
281640,8
2230190,0
262280,15
3720,13
591460,12
280720,12
224500,12
750520,12
1055090,11
521150,11
463530,11
726110,11
2646910,0
24740,14
359800,14
232010,13
447020,12
253710,12
427730,12
605740,12
310560,12
212070,12
397340,12
2016810,0
3910,9
8800,9
226840,8
646500,8
314980,8
370540,8
208520,8
530110,8
248510,8
932780,8
2805550,0
310560,10
824720,9
431600,9
457330,9
605740,8
493490,8
286570,8
766570,8
704030,8
226580,8
2065800,0
236110,13
201790,13
345180,13
239070,13
272470,13
200710,12
102600,12
824460,12
320040,11
418340,11
2942970,0
373390,7
420740,7
536530,7
257510,6
631570,6
552590,6
370910,6
573320,6
520600,6
375440,6
2039120,0
442080,17
263500,16
287920,15
113420,15
407530,15
253710,14
834910,14
355840,14
361800,14
349480,14
2447020,0
289950,14
232010,14
1044980,13
646910,12
605740,12
446800,12
397340,12
9480,12
65790,12
491530,12
2253710,0
530700,15
664460,15
371660,14
39120,14
304930,14
10680,14
390670,14
723780,14
91600,14
12830,14
2633460,0
242860,18
736220,16
775940,16
496240,15
530700,15
860020,15
551610,14
494840,13
333950,13
2630,13
2591960,0
282900,13
383080,13
393530,13
246420,12
353270,12
329110,11
588430,11
327030,11
400910,11
426000,11
2528740,0
342200,9
929490,9
390670,8
253710,7
375230,7
4920,7
507490,7
755800,7
672680,7
829590,7
2333600,0
602520,16
654880,14
402180,14
570840,14
668630,14
615530,14
345610,13
340730,13
451760,13
313740,13
2671510,0
321360,15
287920,15
355180,15
349700,15
9200,14
355840,14
227100,14
226700,14
113420,14
314280,14
2496240,0
860020,17
551610,16
633460,15
775940,15
736220,14
744600,14
242860,13
505740,13
640800,13
530700,13
3056960,0
562860,11
415590,11
10680,10
678800,10
9200,10
21100,10
41000,10
204340,10
564310,10
91600,10
3055090,0
280720,15
733460,15
409590,15
333950,14
254200,14
402710,14
588210,14
386590,14
369080,14
418030,13
2038420,0
300550,13
38400,13
921800,13
466300,12
226840,12
760060,12
234650,12
559100,12
237930,12
25900,12
2206420,0
9480,16
304530,14
647830,13
201790,13
45740,13
313690,13
12120,12
405310,12
249130,12
12200,12
2568220,0
501320,12
871420,12
506610,11
304650,11
1520,11
483980,11
1016730,11
814540,11
394310,11
699920,11
2410340,0
462480,8
841290,8
824720,7
300380,7
831530,7
907190,7
667530,7
697630,7
881130,7
880200,7
2237310,0
495910,14
236110,13
442080,13
354200,13
39120,12
215830,12
418340,12
335240,12
292480,12
35720,11
2503560,0
606971,14
793460,13
759080,12
936490,12
246620,11
686200,11
848310,11
239820,10
494840,10
868360,10
2322170,0
494580,20
218060,15
818060,14
270210,14
63710,14
670930,14
584400,13
397950,13
207490,13
1069270,13
2544750,0
411830,14
838380,13
511680,13
262150,13
349040,12
716710,12
626690,11
215830,11
383980,11
45760,11
2034270,0
584400,13
366250,13
312610,13
71162,13
280520,12
200940,12
799510,12
484930,12
467220,12
2300,11
2466300,0
38420,12
204030,12
281640,12
17450,12
858100,12
311290,11
243930,11
384110,11
25900,11
285800,11
2587430,0
322500,6
800200,6
270010,6
1081250,6
261820,6
912560,6
450050,6
529500,6
651060,6
961710,6
2801630,0
411370,13
45760,12
383980,11
261180,11
716710,11
564150,11
544750,10
553310,10
242700,10
511680,10
2239820,0
686680,16
943130,16
346900,14
287980,14
567750,14
246420,13
247020,13
222730,13
749270,13
285330,12
2320040,0
239070,14
768950,13
793340,13
200710,12
345180,12
452060,12
540100,12
65800,11
323220,11
487000,11
2392160,0
201310,12
290300,12
788630,12
588210,12
369530,12
320340,12
1088600,12
252870,11
398170,11
244030,11
2427290,0
532790,18
378648,15
449800,14
606280,14
239250,14
487720,14
345230,14
505230,13
414700,13
115320,13
2285330,0
285310,14
24780,14
678390,14
222730,13
239820,12
40970,12
606800,12
603940,12
715050,12
750520,12
2285310,0
285330,14
24780,14
694130,14
591460,13
3720,13
222730,13
1083300,13
750520,13
877080,12
868360,12
2399810,0
391720,13
914020,13
4720,12
749050,12
22340,12
272060,12
506610,11
505230,11
414700,11
288160,11
3058020,0
32380,12
208200,11
362890,10
2300,10
238210,10
292730,10
405820,10
13520,10
20530,10
204340,10
2362890,0
290930,16
673130,15
420,15
13520,15
312210,15
346330,15
402710,14
415590,14
330580,14
261820,14
2544550,0
402710,16
418030,15
333950,15
588210,15
351290,15
655290,15
467570,15
244770,15
386590,15
333340,15
2647830,0
313690,17
405310,15
249130,15
213330,15
829110,14
206420,13
352400,13
438640,13
209000,12
9480,12
2427730,0
305620,15
266430,15
418030,14
521890,14
252870,14
368360,14
333950,14
416590,14
655290,14
674500,14
2304930,0
312210,19
355840,18
351290,18
280790,17
113420,17
349700,17
418030,16
734580,16
851080,16
298610,15
2055150,0
203750,16
47780,15
235600,14
21100,14
226720,14
222480,14
15620,13
13570,13
8080,13
65930,13
2978680,0
489180,3
665300,3
919280,3
671190,3
1020820,3
1046770,3
517170,3
939920,3
979010,3
967130,3
2342940,0
658980,12
372800,12
834910,11
829590,10
707010,10
1001040,10
455300,10
679270,10
984070,10
389040,10
2247000,0
246420,12
253510,12
397390,12
596821,12
596820,12
329110,11
285800,11
293260,11
270790,11
931650,11
2394510,0
727930,13
270550,12
459830,12
277430,11
250110,11
397390,11
921890,11
427730,10
345180,10
678800,10
2566860,0
705100,10
954280,9
375480,9
755410,9
921970,9
880200,9
626020,9
606870,9
638830,9
625000,9
2853770,0
673130,17
562860,16
937870,16
802200,15
1051840,15
337320,14
362890,13
696370,13
330580,13
607760,13
2024980,0
901242,21
474960,14
292140,14
17450,14
243930,14
204030,13
22300,13
203160,13
219780,13
338390,13
2469610,0
698720,10
657200,9
416590,9
304530,9
332570,8
506610,8
447530,8
250260,8
698780,8
520600,8
2349040,0
280160,14
449800,13
418340,13
28000,13
544750,12
405310,12
35720,12
8080,12
209000,11
647830,11
2307780,0
242700,13
12130,12
697870,12
838380,11
349040,11
45760,11
261180,11
222480,11
262150,11
544750,10
2521890,0
967050,15
503350,15
416590,15
352460,15
427730,14
466240,14
10680,14
434570,14
434730,14
489360,14
2418650,0
496240,8
362890,8
853770,8
252870,8
673130,8
367270,8
408900,8
607760,8
744600,8
787550,8
2226840,0
25900,14
10500,13
285800,13
270790,13
333880,13
38420,12
760060,12
9450,12
15620,12
300550,12
2388090,0
489360,17
506610,16
568090,16
738060,15
416590,13
485380,13
521890,12
305620,12
505230,12
414700,12
2007670,0
528550,1
281610,1
480650,1
383870,1
371660,1
39150,1
418030,1
1065970,1
967050,1
838380,1
2840800,0
333340,15
254200,14
876650,14
402710,14
834910,14
829590,14
263200,14
658980,14
409590,14
244770,14
2200710,0
345180,16
41500,16
272470,15
793340,15
487000,14
400170,14
225640,14
768950,14
235540,13
39190,13
2600750,0
441340,9
17440,9
24720,9
206500,9
281610,8
39120,8
591960,8
329110,8
588430,8
236110,8
2555880,0
543390,13
914620,11
562860,11
557180,11
995450,11
853240,11
906680,11
825500,11
551610,11
496240,10
2521150,0
672630,18
598330,15
280720,15
733460,15
738610,15
606800,14
673610,14
848310,14
750520,14
1055090,13
2321410,0
397180,10
1520,9
312980,9
314980,9
65790,9
792490,9
870520,9
736220,8
494840,8
775940,8
2332570,0
266430,16
298610,15
418030,14
605740,14
252870,14
333950,14
842140,14
351290,14
655290,14
312210,14
2400940,0
409320,10
521890,9
252630,9
747340,9
489360,9
261820,9
436110,9
311250,9
362890,8
555880,8
2503940,0
446800,10
225420,10
310470,10
285330,9
24780,9
40970,9
671440,9
39650,9
73010,9
593490,9
2024780,0
285330,14
285310,14
868360,13
877080,12
40970,12
606800,12
57690,12
23490,12
678390,12
239820,11
2346900,0
842150,16
239820,14
603940,14
426000,13
397900,13
462930,13
929010,12
246420,12
625860,12
1082720,12
2506610,0
489360,18
388090,16
568090,16
738060,16
416590,14
749050,14
777200,14
967050,13
521890,13
505230,13
2553310,0
261180,17
263020,13
383980,12
822810,12
45760,11
296470,11
270450,11
244730,11
941160,11
1026130,11
2384190,0
493200,17
874270,16
911510,15
275100,14
912000,14
383870,13
582270,13
331870,13
580200,13
988100,13
2605740,0
655290,15
332570,14
252870,14
386590,14
266430,14
418030,13
333950,13
298610,13
824720,13
588210,13
2208580,0
32460,13
32340,13
560170,9
6080,5
32310,3
528550,1
281610,1
480650,1
383870,1
371660,1
2731490,0
360830,14
71340,13
207490,13
200940,13
799510,13
71162,13
559630,13
584400,12
213610,12
316790,12
2901242,0
24980,21
474960,14
292140,14
17450,14
243930,14
204030,13
22300,13
203160,13
219780,13
338390,13
2804490,0
528550,1
281610,1
480650,1
383870,1
371660,1
39150,1
418030,1
1065970,1
967050,1
838380,1
2495910,0
215830,15
237310,14
442080,12
846110,12
598700,12
449800,11
418340,11
217750,11
340170,11
11610,11
2319630,0
237850,14
474960,13
352520,13
427660,13
388880,12
345390,12
224460,12
319320,12
371300,12
358090,12
2329110,0
246420,12
591960,11
247000,11
236110,11
625860,11
227580,11
402840,10
35720,10
452570,10
305260,10
2654880,0
345610,15
602520,15
520600,15
340730,15
570840,15
678190,15
333600,14
616250,14
668630,14
313740,14
2311290,0
7520,12
268870,12
225640,12
281610,11
39120,11
38420,11
466300,11
349040,11
226840,11
200710,11
2588430,0
733460,15
329430,14
254200,14
386590,14
761830,14
280790,13
24720,13
340050,13
386260,13
409590,13
2626690,0
215830,13
346730,13
39120,12
449800,12
442080,12
201790,12
511680,12
9480,12
671510,11
206420,11
2305620,0
433170,16
851080,16
655290,16
466500,16
369080,16
427730,15
914620,15
333950,15
327860,15
340050,15
2463530,0
328080,15
280720,15
733460,15
591460,14
341710,14
738610,14
1055090,13
672630,13
224500,13
848310,13
2000500,0
4920,14
41700,14
9200,14
284080,14
304930,13
21690,13
10680,13
21100,13
235540,13
91600,13
2551170,0
931650,9
558100,8
412310,8
699040,8
861050,8
591960,7
840800,7
215830,7
236110,7
1016730,7
2590380,0
1097530,15
546430,14
370020,14
311720,13
364200,13
639300,13
882590,13
296970,12
351480,12
838990,12
2047410,0
227180,17
699040,14
700030,14
361800,13
301520,12
500710,12
255251,12
263500,12
255250,12
39120,11
2246620,0
427730,13
333950,13
686200,13
686680,13
239820,12
304930,12
305620,12
494840,12
222730,12
848310,12
2391220,0
203160,17
8140,15
606280,13
339340,13
8000,13
613270,13
431650,13
24980,12
901242,12
48190,12
3029890,0
391720,14
253110,14
975470,14
299950,13
505230,12
384110,12
774811,12
749050,12
359940,12
330260,12
2208650,0
209000,17
35140,17
200260,16
233290,13
115320,12
311340,12
12120,11
498240,11
48190,11
424840,11
2342200,0
736220,14
390670,14
530700,14
253710,13
65790,13
12830,13
439370,13
39120,12
775940,12
242860,12
2505230,0
384110,17
733300,14
617590,14
427290,13
506610,13
532790,13
414700,13
320240,13
391720,13
568090,13
2004570,0
9450,17
15620,16
363680,14
281610,12
507490,12
55150,11
620590,11
322910,11
553210,11
586910,11
2736220,0
242860,17
530700,17
633460,16
775940,16
390670,15
7830,15
30,15
65790,15
12830,15
496240,14
2726110,0
591460,15
750520,15
686680,14
672630,13
848310,13
738610,13
864680,13
521150,12
606800,12
673610,12
2441340,0
244770,13
24720,12
290300,12
252870,11
329130,11
17440,11
237870,11
788630,11
464360,11
588210,11
2877080,0
868360,15
678390,15
760650,14
774351,13
672630,13
733460,13
224500,13
285310,12
24780,12
446800,12
2322500,0
521890,11
270010,11
651060,11
555880,10
775940,10
657200,10
581630,10
416590,10
564310,10
457210,10
2494840,0
803980,15
775940,14
333950,14
733460,14
655290,14
409590,14
633460,13
679260,13
496240,12
1055090,12
2012120,0
12100,19
12200,16
9480,15
28000,15
40990,14
311340,14
223470,13
13570,13
13520,13
204340,13
2447530,0
282900,14
520600,14
914800,14
654880,13
602520,13
495890,13
925520,13
699080,13
610810,13
844660,12
2010500,0
226840,13
