,userid,appid,rating,gameIdx
0,5250,630,3,0.0
1,5250,255710,5,1.0
2,5250,10,1,2.0
3,5250,240,1,3.0
4,5250,30,1,4.0
5,5250,40,1,5.0
6,5250,570,1,6.0
7,5250,70,1,7.0
8,5250,220,1,8.0
9,5250,320,1,9.0
10,5250,380,1,10.0
11,5250,420,1,11.0
12,5250,130,1,12.0
13,5250,50,1,13.0
14,5250,400,1,14.0
15,5250,620,4,15.0
16,5250,60,1,16.0
17,5250,440,2,17.0
18,5250,20,1,18.0
19,76767,630,2,0.0
20,76767,33930,1,19.0
21,76767,242920,4,20.0
22,76767,42700,4,21.0
23,76767,10180,5,22.0
24,76767,10090,5,23.0
25,76767,10,5,2.0
26,76767,240,5,3.0
27,76767,30,1,4.0
28,76767,40,1,5.0
29,76767,70,2,7.0
30,76767,130,1,12.0
31,76767,50,1,13.0
32,76767,620,4,15.0
33,76767,60,1,16.0
34,76767,287450,3,24.0
35,76767,20,1,18.0
36,76767,221910,2,25.0
37,76767,239160,1,26.0
38,76767,211740,1,27.0
39,76767,6980,3,28.0
40,76767,211600,1,29.0
41,76767,325610,5,30.0
42,76767,217200,1,31.0
43,86540,108710,1,32.0
44,86540,202750,1,33.0
45,86540,33930,1,19.0
46,86540,49520,2,34.0
47,86540,10,1,2.0
48,86540,30,1,4.0
49,86540,40,1,5.0
50,86540,6910,1,35.0
51,86540,6920,1,36.0
52,86540,212680,1,37.0
53,86540,220240,4,38.0
54,86540,70,1,7.0
55,86540,220,1,8.0
56,86540,380,1,10.0
57,86540,130,1,12.0
58,86540,50,1,13.0
59,86540,261110,3,39.0
60,86540,110800,1,40.0
61,86540,550,4,41.0
62,86540,204100,2,42.0
63,86540,12830,1,43.0
64,86540,11450,1,44.0
65,86540,12710,1,45.0
66,86540,400,1,14.0
67,86540,620,1,15.0
68,86540,31270,1,46.0
69,86540,94590,1,47.0
70,86540,60,1,16.0
71,86540,12770,1,48.0
72,86540,204340,1,49.0
73,86540,111600,1,50.0
74,86540,201480,1,51.0
75,86540,20,1,18.0
76,86540,212630,1,52.0
77,86540,200710,3,53.0
78,86540,57690,1,54.0
79,86540,200510,5,55.0
80,103360,10,1,2.0
81,103360,80,1,56.0
82,103360,80,1,57.0
83,103360,30,1,4.0
84,103360,40,1,5.0
85,103360,70,1,7.0
86,103360,130,1,12.0
87,103360,50,1,13.0
88,103360,60,1,16.0
89,103360,20,1,18.0
90,144736,10,1,2.0
91,144736,30,1,4.0
92,144736,40,1,5.0
93,144736,70,1,7.0
94,144736,130,1,12.0
95,144736,50,1,13.0
96,144736,60,1,16.0
97,144736,20,1,18.0
98,181212,10,2,2.0
99,181212,240,1,3.0
100,181212,30,1,4.0
101,181212,40,1,5.0
102,181212,70,1,7.0
103,181212,220,1,8.0
104,181212,320,1,9.0
105,181212,130,1,12.0
106,181212,50,1,13.0
107,181212,60,1,16.0
108,181212,20,1,18.0
109,229911,42700,4,21.0
